event_id,event_date,customer_id,event_type,source
E000001A,2023-01-02,C00001,page_view,Paid Social
E000001B,2023-01-02,C00001,purchase,Paid Social
E000002A,2023-01-02,C00002,page_view,Email
E000002B,2023-01-02,C00002,purchase,Email
E000003A,2023-01-03,C00003,page_view,Direct
E000003B,2023-01-03,C00003,purchase,Direct
E000004A,2023-01-03,C00004,page_view,Organic Search
E000004B,2023-01-03,C00004,purchase,Organic Search
E000005A,2023-01-05,C00005,page_view,Paid Social
E000005B,2023-01-05,C00005,purchase,Paid Social
E000006A,2023-01-05,C00006,page_view,Email
E000006B,2023-01-05,C00006,purchase,Email
E000007A,2023-01-06,C00007,page_view,Direct
E000007B,2023-01-06,C00007,purchase,Direct
E000008A,2023-01-06,C00008,page_view,Organic Search
E000008B,2023-01-06,C00008,purchase,Organic Search
E000009A,2023-01-06,C00009,page_view,Paid Social
E000009B,2023-01-06,C00009,purchase,Paid Social
E000010A,2023-01-07,C00010,page_view,Email
E000010B,2023-01-07,C00010,purchase,Email
E000011A,2023-01-08,C00011,page_view,Direct
E000011B,2023-01-08,C00011,purchase,Direct
E000012A,2023-01-08,C00012,page_view,Organic Search
E000012B,2023-01-08,C00012,purchase,Organic Search
E000013A,2023-01-09,C00013,page_view,Paid Social
E000013B,2023-01-09,C00013,purchase,Paid Social
E000014A,2023-01-12,C00014,page_view,Email
E000014B,2023-01-12,C00014,purchase,Email
E000015A,2023-01-13,C00015,page_view,Direct
E000015B,2023-01-13,C00015,purchase,Direct
E000016A,2023-01-13,C00016,page_view,Organic Search
E000016B,2023-01-13,C00016,purchase,Organic Search
E000017A,2023-01-13,C00017,page_view,Paid Social
E000017B,2023-01-13,C00017,purchase,Paid Social
E000018A,2023-01-14,C00018,page_view,Email
E000018B,2023-01-14,C00018,purchase,Email
E000019A,2023-01-14,C00019,page_view,Direct
E000019B,2023-01-14,C00019,purchase,Direct
E000020A,2023-01-14,C00020,page_view,Organic Search
E000020B,2023-01-14,C00020,purchase,Organic Search
E000021A,2023-01-15,C00021,page_view,Paid Social
E000021B,2023-01-15,C00021,purchase,Paid Social
E000022A,2023-01-15,C00022,page_view,Email
E000022B,2023-01-15,C00022,purchase,Email
E000023A,2023-01-17,C00023,page_view,Direct
