order_item_id,order_id,product_id,quantity,unit_price,discount_percent,total_sales,profit
I000001,ORD-11121,P00001,3.0,99.43,0.0,298.29,124.92
I000002,ORD-11244,P00002,4.0,97.93,20.0,313.38,83.62
I000003,ORD-10325,P00003,2.0,10.74,0.0,21.48,3.69
I000004,ORD-10467,P00004,2.0,61.86,15.0,105.16,26.32
I000005,ORD-11454,P00005,4.0,330.67,20.0,1058.14,253.44
I000006,ORD-11746,P00006,1.0,61.93,10.0,55.74,12.7
I000007,ORD-11162,P00007,2.0,15.03,5.0,28.56,8.44
I000008,ORD-11271,P00008,2.0,33.91,10.0,61.04,9.36
I000009,ORD-11702,P00005,2.0,334.11,5.0,634.81,221.96
I000010,ORD-10847,P00009,1.0,58.77,5.0,55.83,8.54
I000011,ORD-10446,P00010,2.0,38.91,15.0,66.15,12.99
I000012,ORD-11499,P00011,3.0,7.8,10.0,21.06,-2.08
I000013,ORD-10271,P00004,1.0,48.73,10.0,43.86,8.95
I000014,ORD-11356,P00012,1.0,59.48,0.0,59.48,18.32
I000015,ORD-10793,P00013,1.0,15.82,0.0,15.82,-0.46
I000016,ORD-11330,P00014,3.0,51.92,30.0,109.03,17.76
I000017,ORD-11886,P00015,3.0,358.6,15.0,914.43,254.21
I000018,ORD-10339,P00016,2.0,446.8,5.0,848.92,299.17
I000019,ORD-10402,P00009,6.0,96.58,0.0,579.48,221.57
I000020,ORD-10560,P00017,1.0,27.9,5.0,26.5,3.62
I000021,ORD-10686,P00018,5.0,9.91,25.0,37.16,-5.87
I000022,ORD-11718,P00017,2.0,47.0,10.0,84.6,22.77
I000023,ORD-10736,P00019,2.0,32.91,0.0,65.82,22.07
I000024,ORD-10846,P00020,2.0,11.41,5.0,21.68,-3.85
I000025,ORD-11128,P00005,5.0,333.59,10.0,1501.15,491.36
I000026,ORD-10279,P00021,7.0,10.6,20.0,59.36,7.71
I000027,ORD-10344,P00022,2.0,67.38,5.0,128.02,36.16
I000028,ORD-10589,P00023,4.0,121.25,0.0,485.0,199.72
I000029,ORD-11029,P00018,4.0,19.92,0.0,79.68,27.81
I000030,ORD-11026,P00019,3.0,34.98,5.0,99.69,27.3
I000031,ORD-10968,P00022,4.0,37.18,5.0,141.28,39.77
I000032,ORD-11723,P00024,1.0,8.54,15.0,7.26,-4.55
I000033,ORD-10408,P00011,2.0,8.53,5.0,16.21,-0.77
I000034,ORD-11828,P00025,4.0,57.87,20.0,185.18,55.56
I000035,ORD-11035,P00018,8.0,15.41,10.0,110.95,33.57
I000036,ORD-10599,P00002,1.0,167.57,5.0,159.19,60.82
I000037,ORD-10780,P00016,2.0,212.13,0.0,424.26,154.98
I000038,ORD-10636,P00026,5.0,9.02,15.0,38.33,0.34
I000039,ORD-10694,P00004,3.0,55.78,0.0,167.34,65.92
I000040,ORD-10711,P00007,5.0,10.25,0.0,51.25,9.3
I000041,ORD-10383,P00025,1.0,54.25,0.0,54.25,15.54
I000042,ORD-10435,P00024,4.0,16.61,5.0,63.12,24.82
I000043,ORD-10017,P00027,3.0,18.32,0.0,54.96,14.57
I000044,ORD-11220,P00028,4.0,53.6,0.0,214.4,98.68
I000045,ORD-11237,P00015,4.0,429.23,5.0,1631.07,588.72
I000046,ORD-11655,P00029,2.0,28.99,10.0,52.18,7.59
I000047,ORD-11858,P00003,3.0,8.65,5.0,24.65,-4.07
I000048,ORD-10787,P00030,3.0,19.94,0.0,59.82,18.31
I000049,ORD-10950,P00004,6.0,32.72,5.0,186.5,68.41
I000050,ORD-10374,P00025,12.0,25.43,5.0,289.9,113.76
I000051,ORD-10745,P00005,4.0,274.83,10.0,989.39,319.52
I000052,ORD-11670,P00022,1.0,60.16,15.0,51.14,4.19
I000053,ORD-11158,P00021,10.0,8.37,15.0,71.14,9.29
I000054,ORD-11430,P00011,1.0,4.78,10.0,4.3,-9.69
I000055,ORD-11760,P00004,7.0,79.23,15.0,471.42,146.54
I000056,ORD-10720,P00006,1.0,188.93,5.0,179.48,56.92
I000057,ORD-11218,P00014,10.0,138.7,15.0,1178.95,468.09
I000058,ORD-10384,P00031,1.0,8.96,0.0,8.96,-6.6
I000059,ORD-11503,P00032,2.0,173.37,0.0,346.74,145.14
I000060,ORD-11711,P00032,1.0,63.94,10.0,57.55,15.52
I000061,ORD-10098,P00004,3.0,64.55,10.0,174.28,54.76
I000062,ORD-10314,P00024,5.0,14.53,5.0,69.02,24.46
I000063,ORD-10322,P00011,1.0,9.63,10.0,8.67,-6.1
I000064,ORD-11507,P00006,4.0,118.02,0.0,472.08,180.93
I000065,ORD-11683,P00009,9.0,126.93,0.0,1142.37,433.81
I000066,ORD-10642,P00005,8.0,289.71,10.0,2085.91,678.86
I000067,ORD-11011,P00012,2.0,81.58,15.0,138.69,45.31
I000068,ORD-11270,P00023,9.0,111.98,5.0,957.43,378.75
I000069,ORD-11659,P00010,3.0,45.99,0.0,137.97,56.3
I000070,ORD-10256,P00011,3.0,4.96,10.0,13.39,-0.4
I000071,ORD-10527,P00012,8.0,80.13,25.0,480.78,142.09
I000072,ORD-11082,P00017,1.0,43.57,5.0,41.39,9.54
I000073,ORD-10473,P00032,2.0,143.15,5.0,271.99,105.94
I000074,ORD-11304,P00009,8.0,126.81,10.0,913.03,282.29
I000075,ORD-11560,P00004,1.0,48.95,0.0,48.95,9.71
I000076,ORD-11196,P00033,2.0,47.62,5.0,90.48,25.04
I000077,ORD-11355,P00001,1.0,238.37,15.0,202.61,60.48
I000078,ORD-11569,P00028,5.0,39.22,10.0,176.49,60.74
I000079,ORD-10916,P00014,2.0,72.23,20.0,115.57,30.26
I000080,ORD-10837,P00034,3.0,35.6,5.0,101.46,33.03
I000081,ORD-10855,P00020,5.0,4.37,15.0,18.57,-2.54
I000082,ORD-11065,P00027,2.0,20.92,0.0,41.84,10.32
I000083,ORD-11922,P00034,4.0,54.4,5.0,206.72,90.39
I000084,ORD-10594,P00019,8.0,72.89,0.0,583.12,248.13
I000085,ORD-11419,P00035,6.0,54.39,0.0,326.34,113.2
I000086,ORD-11624,P00016,6.0,472.56,0.0,2835.36,1115.05
I000087,ORD-11855,P00032,1.0,133.63,0.0,133.63,50.19
I000088,ORD-10843,P00030,2.0,32.06,0.0,64.12,21.03
I000089,ORD-11306,P00036,4.0,36.01,15.0,122.43,32.77
I000090,ORD-10392,P00011,4.0,7.24,10.0,26.06,4.18
I000091,ORD-11302,P00036,3.0,60.99,0.0,182.97,70.31
I000092,ORD-11205,P00003,6.0,7.14,0.0,42.84,10.97
I000093,ORD-10892,P00020,2.0,8.06,15.0,13.7,-3.99
I000094,ORD-11175,P00012,2.0,31.71,5.0,60.25,17.91
I000095,ORD-11598,P00009,6.0,82.3,0.0,493.8,185.09
I000096,ORD-10113,P00004,1.0,77.48,0.0,77.48,27.71
I000097,ORD-10646,P00011,9.0,7.24,0.0,65.16,16.89
I000098,ORD-11378,P00026,12.0,5.63,5.0,64.18,2.52
I000099,ORD-11900,P00027,2.0,26.25,10.0,47.25,14.73
I000100,ORD-11523,P00032,2.0,135.29,0.0,270.58,111.69
I000101,ORD-10233,P00035,1.0,24.66,0.0,24.66,-1.41
I000102,ORD-10605,P00002,4.0,165.1,5.0,627.38,248.72
I000103,ORD-10907,P00024,2.0,11.57,25.0,17.36,-1.14
I000104,ORD-11202,P00037,1.0,113.52,10.0,102.17,26.71
I000105,ORD-11294,P00018,4.0,9.18,20.0,29.38,0.26
I000106,ORD-11673,P00001,2.0,201.32,0.0,402.64,167.47
I000107,ORD-11217,P00002,9.0,90.24,10.0,730.94,265.39
I000108,ORD-10246,P00024,1.0,18.57,0.0,18.57,0.3
I000109,ORD-11135,P00038,3.0,29.57,10.0,79.84,24.6
I000110,ORD-10620,P00007,1.0,11.17,20.0,8.94,-6.16
I000111,ORD-11279,P00013,8.0,20.92,0.0,167.36,73.08
I000112,ORD-10124,P00018,5.0,11.95,10.0,53.77,12.09
I000113,ORD-10242,P00009,3.0,59.88,20.0,143.71,26.59
I000114,ORD-10915,P00022,6.0,99.69,0.0,598.14,221.25
I000115,ORD-11632,P00016,1.0,354.67,5.0,336.94,111.73
I000116,ORD-11184,P00007,4.0,22.67,0.0,90.68,35.55
I000117,ORD-10874,P00003,4.0,5.48,5.0,20.82,-1.04
I000118,ORD-11668,P00002,8.0,107.75,10.0,775.8,286.77
I000119,ORD-11260,P00003,1.0,11.11,0.0,11.11,-2.0
I000120,ORD-10953,P00019,2.0,27.32,10.0,49.18,9.03
I000121,ORD-10521,P00007,5.0,19.74,0.0,98.7,37.26
I000122,ORD-11545,P00012,3.0,70.31,0.0,210.93,90.0
I000123,ORD-10070,P00023,5.0,149.77,10.0,673.97,247.62
I000124,ORD-11006,P00002,2.0,54.94,0.0,109.88,40.68
I000125,ORD-10744,P00038,5.0,61.18,10.0,275.31,107.7
I000126,ORD-10861,P00003,2.0,14.59,0.0,29.18,3.8
I000127,ORD-10676,P00002,3.0,174.46,0.0,523.38,220.87
I000128,ORD-11064,P00038,1.0,28.85,15.0,24.52,-0.72
I000129,ORD-11786,P00015,3.0,323.91,15.0,825.97,233.58
I000130,ORD-10637,P00039,2.0,11.39,0.0,22.78,3.96
I000131,ORD-10863,P00022,5.0,64.1,5.0,304.47,94.68
I000132,ORD-11917,P00021,2.0,6.29,0.0,12.58,-0.3
I000133,ORD-10020,P00009,2.0,90.87,0.0,181.74,58.02
I000134,ORD-11090,P00015,12.0,334.56,5.0,3813.98,1370.08
I000135,ORD-11712,P00022,4.0,68.83,0.0,275.32,90.35
I000136,ORD-10887,P00031,2.0,10.37,0.0,20.74,-1.94
I000137,ORD-11156,P00028,2.0,52.89,0.0,105.78,46.62
I000138,ORD-11633,P00035,11.0,30.48,0.0,335.28,104.15
I000139,ORD-10103,P00027,3.0,24.22,5.0,69.03,23.83
